@RELATION agosto_15_09_20_16_26
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
8.0,39.5,0.045,0.048,0.05,0.05,0.05,-6.539,0.32,16.604,0.011,16.795,-0.043,24.725,-0.086,35.253,-0.022,19.5,0.039,3.569,1.76,35.4,-5.833,0.746,0.104,7.714,41.2,0.033,0.035,0.036,0.036,0.036,-4.582,0.315,0.031,2.73,1.66,3.04E-4,1.48E-4,0.049126867,0.03537134,34.032524,0.141,0.0
8.0,39.6,0.041,0.045,0.047,0.047,0.047,-6.599,0.281,34.834,0.006,28.77,-0.012,26.809,-0.001,22.43,-0.037,21.8,0.047,4.272,1.69,36.3,-5.217,0.416,0.07,5.341,40.6,0.035,0.037,0.037,0.037,0.037,-4.917,0.119,0.032,2.766,1.56,2.61E-4,1.41E-4,0.04617925,0.036353882,21.653463,0.17,0.0
8.0,39.9,0.042,0.045,0.047,0.047,0.047,-6.928,0.381,34.178,-0.067,31.826,-0.082,29.208,-0.074,33.188,-0.053,22.9,0.055,5.114,1.71,38.1,-5.849,0.426,0.057,4.56,41.9,0.034,0.037,0.039,0.039,0.039,-4.524,0.43,0.032,2.879,1.75,2.56E-4,1.67E-4,0.04617925,0.038318954,32.039017,0.236,0.0
8.0,40.3,0.041,0.043,0.046,0.046,0.046,-7.156,0.31,26.543,-0.069,27.523,-0.069,29.256,-0.038,27.476,-0.03,24.2,0.042,3.906,1.69,38.5,-5.604,0.333,0.059,4.816,41.5,0.034,0.036,0.038,0.038,0.038,-5.262,0.16,0.034,3.048,1.67,2.34E-4,1.55E-4,0.040622186,0.033557456,21.42715,0.166,0.0
8.0,41.5,0.034,0.036,0.038,0.038,0.038,-6.86,0.258,26.105,-0.07,20.679,-0.025,18.442,-0.05,26.971,-0.072,25.5,0.03,2.878,1.69,38.6,-5.658,0.342,0.05,4.137,42.6,0.032,0.033,0.034,0.034,0.034,-5.046,0.179,0.029,2.662,1.76,1.54E-4,1.32E-4,0.033557456,0.030025095,21.033327,0.098,0.0
8.0,40.4,0.035,0.038,0.04,0.04,0.04,-7.288,0.196,32.34,-0.064,36.729,-0.029,30.627,-0.043,25.734,-0.049,25.6,0.036,3.414,1.67,39.4,-6.048,0.255,0.056,4.64,42.6,0.026,0.028,0.029,0.029,0.029,-5.447,0.42,0.025,2.298,1.61,1.66E-4,8.8E-5,0.03532364,0.025609639,20.068651,0.134,0.0
8.0,43.3,0.027,0.029,0.03,0.031,0.031,-7.006,0.156,20.869,-0.055,16.681,-0.014,14.672,-0.051,23.478,-0.039,26.9,0.048,4.68,1.71,38.0,-5.957,0.329,0.056,4.536,43.4,0.024,0.027,0.027,0.027,0.028,-5.325,0.716,0.05,4.652,1.68,1.0E-4,8.3E-5,0.027375821,0.02472655,18.30931,0.232,0.0
8.0,43.4,0.026,0.028,0.031,0.031,0.031,-7.245,0.153,28.656,-0.002,34.854,-0.038,29.028,-0.079,26.61,-0.053,27.5,0.029,2.87,1.69,38.9,-6.505,0.27,0.053,4.401,44.3,0.022,0.024,0.026,0.026,0.026,-4.92,0.421,0.035,3.285,1.71,9.3E-5,7.9E-5,0.018303111,0.015350997,9.276227,0.136,0.0
8.0,43.8,0.028,0.031,0.033,0.033,0.033,-7.094,0.16,24.391,-0.049,17.109,-0.043,11.911,-0.046,12.549,-0.02,27.7,0.035,3.505,1.77,38.3,-6.435,0.346,0.061,4.938,43.5,0.026,0.028,0.029,0.03,0.03,-5.295,0.09,0.026,2.454,1.69,1.27E-4,9.3E-5,0.019483957,0.017712688,4.3745723,0.173,0.0
8.0,42.5,0.032,0.036,0.038,0.038,0.038,-7.434,0.293,19.194,-0.055,32.616,-0.023,33.711,-0.048,32.892,-0.03,28.5,0.04,3.925,1.72,40.5,-6.616,0.264,0.037,3.21,44.4,0.023,0.026,0.027,0.027,0.027,-5.35,0.071,0.019,1.791,1.73,1.57E-4,7.8E-5,0.022436071,0.01594142,11.466126,0.187,0.0
