@RELATION outubro_15_09_20_22_07
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
10.0,47.9,0.03,0.033,0.035,0.035,0.035,-17.506,0.102,96.665,-0.024,96.427,-0.033,92.895,-0.057,94.475,-0.109,35.6,0.023,2.469,1.85,42.7,-27.079,0.198,0.034,3.111,49.6,0.016,0.018,0.019,0.02,0.02,-34.612,0.048,0.009,0.945,1.73,1.42E-4,3.5E-5,0.02903355,0.016590599,65.01013,0.089,0.0
10.0,47.0,0.026,0.029,0.03,0.03,0.03,-17.908,0.137,97.978,-0.15,100.853,-0.133,98.292,-0.081,98.664,-0.022,35.2,0.018,1.967,1.78,43.1,-27.352,0.157,0.022,2.017,50.1,0.015,0.017,0.018,0.018,0.018,-34.62,0.079,0.012,1.24,1.67,8.2E-5,3.0E-5,0.024885898,0.014931538,67.89267,0.066,0.0
10.0,46.9,0.021,0.026,0.027,0.028,0.028,-17.859,0.13,97.064,0.013,98.664,-0.014,96.512,-0.031,96.769,-0.054,35.5,0.016,1.758,1.61,43.3,-27.264,0.15,0.021,1.962,50.5,0.016,0.02,0.021,0.021,0.021,-34.57,0.092,0.01,1.065,1.81,5.5E-5,3.7E-5,0.02322684,0.017420128,66.58868,0.069,0.0
10.0,46.9,0.026,0.029,0.031,0.032,0.032,-17.892,0.149,95.018,-0.089,95.446,-0.085,96.493,-0.095,95.056,-0.141,35.3,0.023,2.501,1.62,43.5,-27.532,0.193,0.024,2.213,50.4,0.017,0.018,0.02,0.02,0.02,-34.713,0.085,0.009,0.946,1.76,6.9E-5,3.4E-5,0.02085114,0.013031961,40.358883,0.113,0.0
10.0,47.0,0.024,0.028,0.031,0.031,0.031,-17.973,0.096,98.454,-0.163,95.456,-0.173,93.019,-0.133,89.896,-0.118,35.9,0.019,2.004,1.82,43.7,-27.706,0.196,0.032,2.952,50.6,0.015,0.017,0.019,0.02,0.02,-34.982,0.207,0.011,1.173,1.74,9.6E-5,3.0E-5,0.020199541,0.013031961,38.168053,0.085,0.0
10.0,47.0,0.025,0.028,0.03,0.03,0.031,-18.138,0.186,90.972,-0.086,94.97,-0.081,89.001,-0.074,88.497,-0.063,36.0,0.026,2.727,1.99,43.4,-27.916,0.173,0.022,2.026,50.1,0.015,0.017,0.018,0.018,0.018,-35.537,0.137,0.012,1.241,1.69,1.38E-4,3.2E-5,0.020199541,0.011728765,37.574066,0.115,0.0
10.0,48.2,0.023,0.026,0.027,0.027,0.027,-18.405,0.237,92.771,-0.124,95.103,-0.147,98.188,-0.15,98.15,-0.157,37.2,0.024,2.661,1.67,44.1,-27.987,0.154,0.021,1.919,49.9,0.017,0.018,0.019,0.019,0.019,-35.713,0.184,0.011,1.176,1.75,5.3E-5,3.5E-5,0.026557982,0.018688949,94.96266,0.119,0.0
10.0,47.2,0.023,0.027,0.028,0.029,0.029,-18.513,0.153,96.531,-0.147,92.514,-0.112,92.942,-0.113,91.848,-0.108,36.5,0.029,3.121,1.79,43.8,-28.39,0.153,0.024,2.215,49.2,0.016,0.018,0.019,0.02,0.02,-36.283,0.115,0.011,1.15,1.76,6.6E-5,3.8E-5,0.028525237,0.019672578,88.86531,0.156,0.0
10.0,47.6,0.021,0.024,0.025,0.025,0.025,-18.553,0.14,89.839,-0.117,85.726,-0.133,86.545,-0.148,86.907,-0.137,36.6,0.025,2.749,1.76,43.0,-28.299,0.185,0.029,2.626,49.6,0.016,0.018,0.019,0.019,0.019,-36.472,0.207,0.009,0.983,1.74,5.4E-5,3.5E-5,0.024590723,0.018688949,84.08477,0.14,0.0
10.0,47.5,0.022,0.025,0.029,0.029,0.029,-18.64,0.16,85.964,-0.136,84.803,-0.165,84.717,-0.167,92.79,-0.2,36.4,0.026,2.785,1.83,43.3,-28.882,0.326,0.035,3.242,49.9,0.016,0.018,0.02,0.02,0.02,-36.751,0.044,0.014,1.45,1.76,6.3E-5,3.3E-5,0.025526088,0.017604198,71.89087,0.131,0.0
10.0,47.6,0.021,0.024,0.026,0.026,0.026,-19.044,0.15,97.036,-0.193,93.932,-0.182,93.913,-0.174,92.562,-0.164,37.1,0.026,2.766,1.89,43.9,-29.671,0.172,0.021,1.976,50.4,0.015,0.017,0.018,0.018,0.018,-37.069,0.118,0.008,0.876,1.77,6.6E-5,3.1E-5,0.022885459,0.015843779,71.71422,0.133,0.0
10.0,47.0,0.022,0.025,0.026,0.027,0.027,-19.252,0.124,92.809,-0.135,90.134,-0.108,91.181,-0.119,91.933,-0.142,37.1,0.021,2.252,1.77,44.3,-29.669,0.193,0.022,2.061,50.2,0.016,0.019,0.02,0.02,0.02,-37.681,0.155,0.011,1.231,1.79,5.9E-5,3.6E-5,0.02376567,0.017604198,71.22689,0.102,0.0
10.0,47.8,0.021,0.024,0.025,0.026,0.026,-19.448,0.184,90.877,-0.196,90.01,-0.237,92.076,-0.279,90.534,-0.312,37.9,0.02,2.164,1.88,44.8,-29.95,0.281,0.023,2.177,49.9,0.016,0.018,0.019,0.019,0.019,-38.033,0.29,0.012,1.249,1.76,6.3E-5,3.5E-5,0.015427001,0.011273577,31.873371,0.072,0.0
10.0,48.0,0.023,0.027,0.029,0.029,0.029,-19.862,0.108,90.391,-0.294,90.601,-0.265,94.799,-0.222,93.866,-0.18,38.2,0.015,1.648,1.97,45.1,-30.631,0.115,0.023,2.21,49.3,0.015,0.018,0.019,0.02,0.02,-38.741,0.062,0.011,1.181,1.68,7.6E-5,3.1E-5,0.01720704,0.011866923,33.046432,0.066,0.0
10.0,48.4,0.022,0.025,0.027,0.027,0.027,-20.017,0.143,90.762,-0.153,93.256,-0.091,90.705,-0.083,98.369,-0.089,38.5,0.02,2.19,1.94,45.1,-31.021,0.166,0.02,1.915,50.0,0.015,0.017,0.018,0.019,0.019,-38.904,0.149,0.009,0.999,1.74,6.1E-5,3.2E-5,0.016020348,0.011273577,34.63176,0.103,0.0
10.0,47.6,0.021,0.025,0.026,0.027,0.027,-20.42,0.107,98.664,-0.124,93.18,-0.172,92.19,-0.212,91.914,-0.216,37.6,0.028,3.019,1.93,44.7,-31.334,0.211,0.019,1.757,50.1,0.015,0.018,0.019,0.019,0.019,-39.268,0.163,0.009,0.951,1.79,6.9E-5,3.4E-5,0.025972314,0.018276813,85.05021,0.129,0.0
10.0,48.9,0.021,0.023,0.025,0.025,0.025,-20.545,0.159,88.221,-0.199,86.326,-0.17,84.289,-0.147,85.869,-0.12,37.9,0.019,2.1,1.96,43.9,-31.58,0.17,0.024,2.249,50.2,0.017,0.019,0.02,0.02,0.021,-39.681,0.13,0.008,0.898,1.87,5.9E-5,4.0E-5,0.024048438,0.020200687,79.45663,0.099,0.0
10.0,48.6,0.02,0.023,0.025,0.026,0.026,-20.791,0.093,87.345,-0.122,87.868,-0.101,84.908,-0.086,84.384,-0.105,37.7,0.016,1.734,1.94,43.8,-31.827,0.182,0.024,2.241,50.3,0.015,0.017,0.018,0.019,0.019,-40.056,0.079,0.008,0.869,1.79,5.8E-5,3.4E-5,0.025010375,0.018276813,78.08253,0.072,0.0
10.0,48.5,0.021,0.023,0.026,0.026,0.026,-20.823,0.082,85.108,-0.123,86.05,-0.142,86.755,-0.162,82.813,-0.177,37.3,0.018,1.972,1.96,43.5,-32.168,0.196,0.024,2.249,50.5,0.015,0.017,0.019,0.019,0.019,-40.178,0.112,0.01,1.031,1.79,6.2E-5,3.2E-5,0.023975588,0.017520621,70.41908,0.079,0.0
10.0,48.1,0.02,0.022,0.026,0.026,0.026,-21.094,0.174,81.652,-0.181,84.575,-0.181,82.157,-0.157,82.661,-0.133,36.3,0.017,1.896,1.93,43.5,-32.683,0.16,0.024,2.175,50.5,0.015,0.017,0.019,0.019,0.019,-40.717,0.217,0.009,0.988,1.77,5.8E-5,2.8E-5,0.023975588,0.017520621,70.28983,0.075,0.0
10.0,48.2,0.022,0.025,0.026,0.026,0.026,-21.313,0.141,82.337,-0.111,81.366,-0.127,84.061,-0.148,87.04,-0.185,36.5,0.019,2.089,1.96,43.3,-32.945,0.193,0.02,1.826,51.0,0.015,0.018,0.019,0.019,0.019,-40.788,0.074,0.014,1.506,1.84,6.6E-5,3.2E-5,0.023975588,0.017520621,74.013466,0.098,0.0
10.0,47.9,0.022,0.025,0.027,0.027,0.027,-21.476,0.117,80.871,-0.181,81.49,-0.175,77.663,-0.169,78.292,-0.137,36.3,0.015,1.653,1.92,43.2,-33.345,0.211,0.025,2.295,51.9,0.015,0.017,0.019,0.019,0.019,-41.005,0.144,0.007,0.747,1.81,6.2E-5,2.8E-5,0.015244194,0.010727395,24.957369,0.062,0.0
10.0,48.4,0.02,0.024,0.027,0.028,0.028,-21.718,0.159,78.52,-0.124,78.653,-0.134,75.255,-0.158,81.395,-0.197,36.7,0.016,1.803,1.95,43.0,-33.711,0.254,0.031,2.836,52.1,0.014,0.017,0.019,0.019,0.019,-41.251,0.133,0.008,0.924,1.85,5.9E-5,2.7E-5,0.015808795,0.010727395,25.946522,0.074,0.0
10.0,47.9,0.019,0.022,0.025,0.025,0.025,-21.936,0.118,82.099,-0.252,85.888,-0.269,86.336,-0.216,82.861,-0.183,37.6,0.013,1.399,1.86,44.4,-34.079,0.224,0.026,2.399,52.2,0.014,0.016,0.018,0.019,0.019,-41.661,0.103,0.007,0.828,1.81,5.7E-5,2.4E-5,0.014114995,0.010727395,26.413843,0.055,0.0
10.0,47.7,0.021,0.025,0.028,0.028,0.028,-22.256,0.11,80.719,-0.126,80.614,-0.108,79.948,-0.108,82.566,-0.113,37.0,0.014,1.506,1.95,44.1,-34.481,0.198,0.021,1.957,51.9,0.014,0.017,0.019,0.019,0.019,-42.335,0.141,0.009,1.035,1.87,6.6E-5,2.9E-5,0.026074303,0.017693276,71.5996,0.064,0.0
10.0,48.3,0.02,0.023,0.025,0.025,0.025,-22.314,0.101,81.081,-0.165,78.273,-0.173,80.967,-0.195,80.386,-0.206,37.8,0.014,1.594,1.94,44.4,-34.731,0.232,0.031,2.919,52.2,0.013,0.016,0.017,0.017,0.017,-42.429,0.04,0.012,1.318,1.79,5.7E-5,2.2E-5,0.023280628,0.015830828,69.709145,0.071,0.0
10.0,48.7,0.023,0.028,0.03,0.03,0.03,-22.431,0.129,77.863,-0.219,77.578,-0.198,77.482,-0.196,77.187,-0.211,38.3,0.017,1.877,2.04,44.3,-35.139,0.255,0.024,2.288,52.1,0.014,0.018,0.02,0.021,0.021,-43.017,0.177,0.009,0.948,1.89,7.0E-5,2.7E-5,0.027936751,0.019555727,66.93503,0.078,0.0
