@RELATION minijanuary_15_09_20_18_56
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
51.0,0.017,0.021,0.023,0.023,0.023,-22.321,0.098,69.048,0.04,67.611,0.038,65.259,0.039,65.135,0.043,42.6,0.013,1.489,1.94,46.6,-33.941,0.121,0.015,1.473,52.1,0.013,0.016,0.017,0.017,0.017,-41.681,0.044,0.007,0.808,1.83,4.2E-5,2.5E-5,0.022671247,0.01675701,63.286285,0.058,0.0
51.0,0.019,0.023,0.025,0.025,0.025,-22.26,0.082,64.955,0.031,66.64,0.041,66.449,0.029,65.907,0.04,42.6,0.011,1.207,2.05,46.4,-33.763,0.124,0.018,1.738,52.2,0.015,0.017,0.018,0.019,0.019,-41.493,0.049,0.007,0.76,1.89,5.1E-5,3.2E-5,0.024642661,0.018728422,64.03637,0.045,0.0
51.0,0.018,0.023,0.024,0.024,0.024,-22.171,0.085,65.097,0.027,65.802,0.035,63.412,0.026,63.679,0.031,42.6,0.009,0.984,2.0,46.3,-33.656,0.147,0.017,1.678,52.3,0.015,0.017,0.018,0.018,0.018,-41.425,0.031,0.006,0.65,1.87,4.7E-5,3.0E-5,0.023656955,0.017742714,61.87161,0.038,0.0
51.4,0.017,0.02,0.022,0.022,0.022,-22.234,0.076,65.754,0.039,64.859,0.033,65.145,0.04,64.536,0.028,42.5,0.008,0.939,2.03,46.1,-33.605,0.121,0.019,1.803,52.4,0.014,0.016,0.017,0.017,0.017,-41.334,0.056,0.007,0.721,1.82,4.5E-5,2.5E-5,0.02168554,0.01675701,62.704285,0.034,0.0
50.9,0.027,0.04,0.051,0.064,0.068,-22.097,0.105,64.85,0.035,66.64,0.02,65.402,0.028,65.935,0.024,42.4,0.011,1.213,2.56,46.4,-33.601,0.13,0.016,1.568,52.4,0.021,0.03,0.038,0.048,0.051,-41.306,0.036,0.006,0.712,2.45,2.26E-4,1.32E-4,0.06702804,0.050271027,64.063576,0.053,0.0
51.0,0.018,0.022,0.028,0.028,0.028,-22.122,0.074,65.707,0.024,66.126,0.023,65.669,0.022,65.754,0.019,42.0,0.007,0.841,2.02,46.1,-33.529,0.155,0.016,1.517,52.2,0.014,0.016,0.02,0.02,0.02,-41.327,0.042,0.007,0.748,1.76,5.2E-5,2.4E-5,0.02759978,0.019714128,63.88771,0.033,0.0
51.0,0.019,0.023,0.025,0.025,0.025,-22.088,0.061,65.726,0.035,65.155,0.028,63.974,0.037,63.146,0.031,42.1,0.009,0.981,2.05,46.0,-33.615,0.13,0.016,1.573,52.2,0.015,0.017,0.019,0.019,0.019,-41.261,0.035,0.006,0.69,1.82,5.5E-5,2.6E-5,0.024642661,0.018728422,61.353737,0.036,0.0
50.9,0.018,0.022,0.026,0.026,0.026,-22.045,0.08,63.974,0.021,65.126,0.025,65.954,0.026,67.249,0.041,42.1,0.01,1.134,2.05,46.0,-33.536,0.137,0.017,1.625,52.3,0.015,0.017,0.019,0.019,0.019,-41.13,0.068,0.007,0.727,1.93,5.9E-5,3.2E-5,0.025628367,0.018728422,65.34028,0.045,0.0
50.9,0.019,0.023,0.026,0.027,0.027,-21.983,0.095,66.259,0.025,66.145,0.045,65.488,0.042,63.965,0.05,42.1,0.01,1.174,1.93,46.1,-33.497,0.117,0.018,1.77,52.4,0.014,0.017,0.019,0.019,0.019,-41.024,0.057,0.007,0.721,1.89,5.1E-5,3.0E-5,0.026614074,0.018728422,62.14949,0.045,0.0
50.7,0.019,0.023,0.024,0.024,0.024,-21.972,0.079,65.107,0.056,65.126,0.063,67.354,0.055,66.716,0.041,42.1,0.014,1.619,1.95,46.3,-33.485,0.138,0.02,1.961,52.2,0.015,0.017,0.017,0.017,0.017,-40.946,0.048,0.007,0.747,1.86,5.4E-5,2.9E-5,0.023656955,0.01675701,64.82241,0.062,0.0
50.6,0.018,0.02,0.022,0.022,0.022,-21.844,0.074,67.534,0.051,67.315,0.047,68.144,0.044,67.534,0.052,41.8,0.009,1.063,1.88,46.5,-33.448,0.145,0.018,1.738,52.2,0.015,0.017,0.018,0.018,0.018,-40.764,0.093,0.007,0.773,1.86,4.2E-5,2.8E-5,0.02168554,0.017742714,65.61719,0.042,0.0
50.8,0.018,0.023,0.025,0.025,0.025,-21.81,0.06,68.02,0.054,67.382,0.054,67.991,0.055,67.43,0.061,41.9,0.011,1.265,2.0,46.4,-33.297,0.104,0.017,1.61,52.2,0.016,0.019,0.02,0.021,0.021,-40.565,0.059,0.006,0.667,1.91,5.0E-5,3.3E-5,0.024642661,0.020699834,65.51614,0.053,0.0
50.7,0.02,0.022,0.026,0.026,0.026,-21.797,0.095,67.154,0.058,68.163,0.051,68.858,0.056,67.715,0.059,42.2,0.011,1.298,2.03,46.5,-33.139,0.121,0.016,1.574,52.2,0.015,0.017,0.019,0.02,0.02,-40.445,0.052,0.006,0.655,1.88,5.1E-5,2.9E-5,0.025628367,0.019714128,65.79305,0.056,0.0
50.9,0.02,0.022,0.026,0.026,0.026,-21.666,0.064,67.097,0.058,66.944,0.053,67.592,0.054,66.192,0.058,42.0,0.01,1.114,2.0,46.2,-33.025,0.15,0.018,1.692,52.1,0.015,0.017,0.019,0.02,0.02,-40.444,0.046,0.008,0.837,1.88,5.4E-5,2.9E-5,0.017154511,0.013195777,28.81479,0.05,0.0
50.7,0.019,0.021,0.023,0.023,0.023,-21.574,0.09,63.955,0.061,64.307,0.055,63.251,0.049,63.907,0.056,41.5,0.011,1.29,1.98,45.8,-32.79,0.13,0.02,1.892,52.2,0.015,0.016,0.018,0.018,0.018,-40.324,0.027,0.007,0.78,1.91,4.7E-5,3.2E-5,0.015175144,0.011876199,27.820082,0.049,0.0
51.0,0.017,0.02,0.023,0.023,0.023,-21.564,0.076,64.859,0.053,67.344,0.049,68.448,0.047,68.106,0.049,41.9,0.009,1.03,1.99,46.2,-32.752,0.147,0.014,1.395,52.2,0.015,0.017,0.018,0.019,0.019,-40.239,0.051,0.007,0.73,1.86,4.4E-5,3.0E-5,0.015175144,0.012535988,29.647997,0.041,0.0
50.7,0.018,0.022,0.025,0.025,0.025,-21.462,0.083,66.563,0.048,64.669,0.057,65.478,0.063,64.517,0.055,42.0,0.012,1.381,2.02,45.9,-32.535,0.154,0.019,1.854,52.2,0.014,0.016,0.018,0.018,0.018,-40.11,0.065,0.007,0.719,1.82,4.7E-5,2.6E-5,0.016494721,0.011876199,28.085627,0.064,0.0
50.7,0.017,0.02,0.021,0.021,0.021,-21.403,0.065,67.534,0.055,66.84,0.045,67.725,0.046,69.086,0.047,41.8,0.008,0.938,2.01,46.1,-32.542,0.156,0.015,1.478,52.0,0.014,0.016,0.016,0.016,0.016,-40.011,0.06,0.007,0.741,1.82,4.8E-5,2.3E-5,0.017274644,0.013161635,46.74872,0.037,0.0
50.7,0.018,0.021,0.025,0.026,0.026,-21.364,0.077,68.601,0.045,68.772,0.045,69.495,0.042,68.905,0.045,41.8,0.009,1.031,2.03,46.3,-32.479,0.124,0.015,1.446,52.0,0.014,0.016,0.018,0.019,0.019,-39.835,0.035,0.006,0.673,1.87,4.8E-5,2.8E-5,0.021387655,0.01562944,46.62624,0.04,0.0
50.9,0.018,0.02,0.022,0.023,0.023,-21.306,0.093,70.124,0.053,69.219,0.054,69.943,0.054,68.534,0.058,41.9,0.012,1.37,1.94,46.3,-32.348,0.162,0.018,1.761,52.2,0.015,0.017,0.018,0.018,0.018,-39.701,0.081,0.007,0.777,1.87,4.5E-5,2.9E-5,0.01891985,0.014806838,46.37519,0.062,0.0
50.9,0.018,0.021,0.023,0.023,0.024,-21.245,0.093,69.543,0.058,69.952,0.043,68.191,0.05,68.82,0.044,41.6,0.012,1.394,1.95,46.3,-32.196,0.092,0.017,1.65,52.0,0.014,0.017,0.019,0.019,0.019,-39.625,0.06,0.008,0.842,1.87,4.8E-5,2.9E-5,0.023934025,0.018947769,68.442154,0.055,0.0
50.9,0.018,0.022,0.023,0.024,0.024,-21.165,0.094,68.448,0.046,67.354,0.045,70.333,0.049,67.725,0.053,41.5,0.01,1.194,1.96,46.1,-32.157,0.163,0.019,1.794,52.1,0.014,0.016,0.017,0.017,0.017,-39.454,0.055,0.007,0.727,1.77,4.7E-5,2.4E-5,0.023934025,0.016953269,67.353165,0.047,0.0
51.0,0.019,0.022,0.023,0.024,0.024,-21.081,0.068,68.172,0.069,68.677,0.062,67.972,0.072,66.963,0.063,41.9,0.01,1.118,2.04,46.1,-32.006,0.136,0.016,1.505,52.0,0.014,0.016,0.017,0.017,0.017,-39.388,0.049,0.007,0.723,1.78,5.4E-5,2.6E-5,0.017436134,0.012350596,35.343765,0.047,0.0
50.9,0.018,0.021,0.024,0.024,0.024,-20.948,0.094,66.449,0.066,69.981,0.059,69.01,0.058,69.467,0.064,42.1,0.012,1.365,1.97,46.2,-31.825,0.138,0.016,1.538,52.0,0.014,0.015,0.017,0.017,0.017,-39.208,0.057,0.006,0.688,1.79,4.2E-5,2.4E-5,0.017436134,0.012350596,36.665405,0.065,0.0
51.0,0.018,0.022,0.024,0.024,0.024,-20.858,0.081,68.391,0.06,67.925,0.067,68.277,0.069,69.315,0.071,42.0,0.013,1.469,2.03,46.0,-31.571,0.111,0.018,1.773,52.0,0.015,0.017,0.018,0.018,0.018,-39.122,0.044,0.007,0.81,1.85,5.1E-5,2.7E-5,0.017436134,0.0130771,36.58518,0.066,0.0
50.9,0.018,0.022,0.026,0.027,0.027,-20.761,0.102,69.791,0.073,72.018,0.068,71.228,0.081,69.334,0.067,41.9,0.012,1.422,2.04,46.1,-31.586,0.125,0.018,1.732,52.0,0.014,0.017,0.019,0.019,0.019,-38.894,0.076,0.007,0.741,1.85,5.3E-5,2.8E-5,0.02059823,0.014495051,40.35325,0.057,0.0
50.9,0.019,0.022,0.024,0.024,0.024,-20.73,0.091,71.78,0.07,72.247,0.073,73.532,0.059,72.923,0.066,42.2,0.012,1.421,2.01,46.4,-31.428,0.143,0.015,1.444,52.2,0.014,0.017,0.018,0.018,0.018,-38.647,0.073,0.007,0.728,1.84,5.3E-5,2.7E-5,0.018309537,0.013732153,42.442093,0.056,0.0
50.7,0.019,0.022,0.024,0.024,0.024,-20.578,0.065,72.913,0.066,71.866,0.061,72.342,0.071,70.371,0.061,42.2,0.011,1.296,2.0,46.3,-31.297,0.11,0.018,1.711,52.2,0.015,0.017,0.018,0.018,0.018,-38.534,0.032,0.006,0.643,1.86,5.8E-5,2.8E-5,0.023994826,0.017996117,70.34066,0.044,0.0
50.8,0.02,0.024,0.026,0.026,0.026,-20.54,0.084,71.99,0.065,69.791,0.069,68.248,0.059,68.486,0.065,41.8,0.011,1.299,1.93,45.8,-31.119,0.171,0.02,1.874,52.1,0.015,0.016,0.017,0.017,0.017,-38.397,0.027,0.007,0.743,1.88,5.1E-5,2.9E-5,0.025994394,0.016996335,68.45647,0.053,0.0
