@RELATION novembro_15_09_20_22_07
@ATTRIBUTE time_interval NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
11.0,51.4,0.017,0.021,0.025,0.025,0.025,-35.766,0.079,79.799,0.038,82.321,0.029,82.064,0.022,81.588,0.028,43.1,0.011,1.27,2.0,47.0,-53.509,0.152,0.017,1.688,52.1,0.014,0.017,0.019,0.019,0.019,-63.481,0.042,0.007,0.736,1.84,4.2E-5,2.7E-5,0.024931276,0.018947769,81.14005,0.053,0.0
11.0,51.3,0.018,0.02,0.022,0.022,0.022,-35.709,0.081,78.399,0.026,78.266,0.022,77.238,0.014,76.2,0.024,42.9,0.01,1.188,1.95,46.5,-53.42,0.166,0.017,1.68,51.8,0.015,0.016,0.018,0.018,0.018,-63.432,0.027,0.007,0.759,1.84,4.0E-5,3.0E-5,0.021939524,0.017950518,75.78163,0.051,0.0
11.0,51.5,0.019,0.021,0.024,0.025,0.025,-35.68,0.082,79.351,0.01,80.075,0.023,78.085,0.016,78.304,0.016,43.0,0.01,1.209,2.07,46.6,-53.467,0.164,0.019,1.913,51.9,0.014,0.016,0.018,0.018,0.018,-63.397,0.044,0.007,0.747,1.83,5.0E-5,2.7E-5,0.024931276,0.017950518,77.874084,0.052,0.0
11.0,51.6,0.019,0.024,0.027,0.027,0.027,-35.682,0.069,78.561,0.016,78.628,0.016,76.191,0.024,76.99,0.014,43.1,0.009,1.035,2.11,46.7,-53.441,0.105,0.016,1.579,51.9,0.015,0.018,0.02,0.02,0.02,-63.423,0.042,0.007,0.765,1.89,5.5E-5,3.1E-5,0.02692578,0.01994502,76.5673,0.038,0.0
11.0,51.5,0.018,0.022,0.023,0.024,0.024,-35.704,0.093,76.914,0.011,78.694,-0.001,79.313,0.004,79.285,-0.007,43.0,0.011,1.31,2.0,46.3,-53.354,0.181,0.016,1.608,52.0,0.015,0.017,0.019,0.019,0.019,-63.435,0.042,0.006,0.711,1.81,4.6E-5,2.6E-5,0.023934025,0.018947769,78.8497,0.053,0.0
11.0,51.4,0.016,0.02,0.025,0.025,0.025,-35.67,0.078,78.342,0.005,78.342,0.009,78.647,0.026,79.97,0.01,43.0,0.011,1.259,1.99,46.6,-53.379,0.108,0.017,1.669,52.0,0.014,0.016,0.019,0.019,0.019,-63.371,0.024,0.006,0.706,1.83,4.2E-5,2.5E-5,0.024931276,0.018947769,79.53094,0.05,0.0
11.0,51.5,0.018,0.022,0.025,0.025,0.026,-35.618,0.063,80.275,0.027,81.141,0.026,79.58,0.033,79.17,0.046,43.1,0.012,1.366,2.04,46.5,-53.303,0.132,0.017,1.662,52.3,0.015,0.017,0.019,0.019,0.019,-63.205,0.096,0.007,0.803,1.89,4.9E-5,3.0E-5,0.018889146,0.013803606,41.786747,0.075,0.0
11.0,51.7,0.018,0.02,0.022,0.022,0.022,-35.522,0.079,78.257,0.045,78.456,0.054,80.265,0.059,81.341,0.059,43.2,0.008,0.959,1.95,46.7,-53.319,0.121,0.019,1.864,52.6,0.015,0.017,0.018,0.018,0.018,-62.945,0.1,0.007,0.803,1.81,4.0E-5,2.4E-5,0.015983123,0.0130771,42.932625,0.038,0.0
11.0,51.7,0.018,0.021,0.023,0.023,0.023,-35.502,0.085,82.455,0.048,83.15,0.058,85.025,0.06,81.522,0.049,43.5,0.008,0.92,2.03,47.1,-53.192,0.132,0.014,1.405,52.6,0.014,0.017,0.019,0.019,0.019,-62.821,0.036,0.007,0.748,1.86,4.3E-5,2.7E-5,0.01670963,0.013803606,43.02816,0.038,0.0
11.0,51.8,0.018,0.021,0.024,0.024,0.024,-35.378,0.07,81.036,0.063,80.103,0.051,78.39,0.058,78.295,0.064,43.2,0.009,1.071,2.06,46.8,-52.996,0.126,0.015,1.449,52.5,0.015,0.017,0.018,0.019,0.019,-62.747,0.048,0.006,0.652,1.91,4.7E-5,3.0E-5,0.017436134,0.013803606,41.324913,0.048,0.0
