@RELATION jan-norm_17_05_17_00_52
@ATTRIBUTE Id NUMERIC
@ATTRIBUTE avg_cn0_l1 NUMERIC
@ATTRIBUTE phi01l1 NUMERIC
@ATTRIBUTE phi03l1 NUMERIC
@ATTRIBUTE phi10l1 NUMERIC
@ATTRIBUTE phi30l1 NUMERIC
@ATTRIBUTE phi60l1 NUMERIC
@ATTRIBUTE avgccd_l1 NUMERIC
@ATTRIBUTE sigmaccd_l1 NUMERIC
@ATTRIBUTE tec_45 NUMERIC
@ATTRIBUTE dtec_6045 NUMERIC
@ATTRIBUTE tec_30 NUMERIC
@ATTRIBUTE dtec_4530 NUMERIC
@ATTRIBUTE tec_15 NUMERIC
@ATTRIBUTE dtec_3015 NUMERIC
@ATTRIBUTE tec NUMERIC
@ATTRIBUTE dtec_15tow NUMERIC
@ATTRIBUTE f2nd_tec_cn0 NUMERIC
@ATTRIBUTE si_l1 NUMERIC
@ATTRIBUTE numerator_si_l1 NUMERIC
@ATTRIBUTE p_l1 NUMERIC
@ATTRIBUTE avg_cn0_l2 NUMERIC
@ATTRIBUTE avgccd_l2c_e5a NUMERIC
@ATTRIBUTE sigmaccd_l2c_e5a NUMERIC
@ATTRIBUTE si_l2c_e5a NUMERIC
@ATTRIBUTE numerator_si_l2c_e5a NUMERIC
@ATTRIBUTE avg_cn0_l5_e5b NUMERIC
@ATTRIBUTE phi01_l5_e5b NUMERIC
@ATTRIBUTE phi03_l5_e5b NUMERIC
@ATTRIBUTE phi10_l5_e5b NUMERIC
@ATTRIBUTE phi30_l5_e5b NUMERIC
@ATTRIBUTE phi60_l5_e5b NUMERIC
@ATTRIBUTE avgccd_l5_e5b NUMERIC
@ATTRIBUTE sigmaccd_l5_e5b NUMERIC
@ATTRIBUTE si_l5_e5b NUMERIC
@ATTRIBUTE numerator_si_l5_e5b NUMERIC
@ATTRIBUTE p_l5_e5b NUMERIC
@ATTRIBUTE t_l1 NUMERIC
@ATTRIBUTE t_e5b NUMERIC
@ATTRIBUTE vphi60_l1 NUMERIC
@ATTRIBUTE vphi60_l5_e5b NUMERIC
@ATTRIBUTE vtec NUMERIC
@ATTRIBUTE s4 NUMERIC
@ATTRIBUTE class        {0.0}
@DATA
1.0,-0.935909,0.09998025,0.07463032,0.011782466,0.017015211,0.010833252,1.3587259,0.042543005,2.3225968,-0.6306038,2.2795844,-0.03520663,2.3860388,-0.05562996,2.4506342,-0.037698504,-0.9882425,0.025025822,0.03540089,0.07557958,NaN,NaN,NaN,NaN,NaN,-0.8960878,NaN,NaN,NaN,NaN,NaN,1.4113594,-0.0768638,-0.04106134,-0.015288393,NaN,-0.028758666,NaN,0.06430043,NaN,2.0076075,-0.00751538,0.0
1.0,-0.7893226,-0.027421277,-0.028487738,-0.10452512,-0.0948624,-0.09899681,1.3411624,0.20548727,2.45265,-0.6669149,2.6091926,-0.033297386,2.3446345,-0.05076541,2.1250083,-0.040815983,-0.8708219,0.025025822,0.06780772,0.07557958,NaN,NaN,NaN,NaN,NaN,-0.9221515,NaN,NaN,NaN,NaN,NaN,1.3832396,-0.21026821,-0.16397348,-0.1616096,NaN,-0.105227426,NaN,-0.30048224,NaN,-0.40999204,0.14259689,0.0
1.0,-0.810264,-0.027421277,-0.054267306,-0.08514049,-0.0948624,-0.09899681,1.3220801,-0.16484071,1.810732,-0.38449496,1.743566,-0.035079353,1.922868,-0.051139604,2.114997,-0.046271566,-0.94127434,-0.21402606,-0.22474577,0.18594164,NaN,NaN,NaN,NaN,NaN,-0.9221515,NaN,NaN,NaN,NaN,NaN,1.3483583,0.3128863,-0.111296855,-0.10923716,NaN,-0.085620046,NaN,-0.30048224,NaN,-0.4132646,-0.24453484,0.0
1.0,-0.7893226,-0.112355545,-0.1316058,-0.16267887,-0.16944748,-0.17221685,1.2854342,0.39065117,2.3855457,-0.54991233,2.36069,-0.03864328,2.3422053,-0.06797843,2.506568,-0.041205667,-0.72991705,-0.11840531,-0.12752528,-0.365866,NaN,NaN,NaN,NaN,NaN,-0.81789595,NaN,NaN,NaN,NaN,NaN,1.333547,-0.03239566,-0.12885574,-0.1170471,NaN,-0.15620664,NaN,-0.35203043,NaN,-0.28526825,-0.14182644,0.0
1.0,-0.89402705,0.0150459,-0.054267306,-0.10452512,-0.11350871,-0.11730185,1.2860988,1.0868677,2.2637682,-0.6588458,2.0883667,-0.04106166,2.0084686,-0.058249336,2.0828588,-0.035360396,-0.74165916,0.21626724,0.2890067,-0.14514321,NaN,NaN,NaN,NaN,NaN,-0.8700242,NaN,NaN,NaN,NaN,NaN,1.2932992,-0.15010543,-0.111296855,-0.112453,NaN,-0.097384475,NaN,-0.31336933,NaN,-0.42376998,0.40331835,0.0
1.0,-0.41238678,-0.23975708,-0.20894435,-0.24021727,-0.24403256,-0.24543689,1.2642633,-0.35741115,2.2386534,-0.4329098,2.1604812,-0.03113357,2.231407,-0.034300786,2.1367247,-0.031268705,-0.54204404,-0.16621569,-0.13257955,-0.034781817,NaN,NaN,NaN,NaN,NaN,-0.58331925,NaN,NaN,NaN,NaN,NaN,1.2929236,-0.13964233,-0.04106134,-0.005870514,NaN,-0.21502876,NaN,-0.15332064,NaN,2.4987435,-0.11022384,0.0
1.0,-0.810264,-0.06988845,-0.1316058,-0.14329432,-0.15080124,-0.13560683,1.2603709,1.1313069,2.0147188,-0.39659864,1.8550191,-0.03189727,1.9121726,-0.062739685,1.8003979,-0.03594492,-0.8238537,0.33579314,0.41685015,-0.20032391,NaN,NaN,NaN,NaN,NaN,-0.34874356,NaN,NaN,NaN,NaN,NaN,1.2849814,0.21871845,-0.25176784,-0.27163765,NaN,-0.11699186,NaN,-0.027561292,NaN,2.2079265,0.64033777,0.0
1.0,-0.6846182,-0.112355545,-0.1316058,-0.14329432,-0.15080124,-0.15391187,1.2023642,0.049949467,2.0105994,-0.40870237,2.0376072,-0.03406108,2.0688713,-0.05637835,1.9913771,-0.039257243,-0.8003695,0.025025822,0.071970046,-0.4762274,NaN,NaN,NaN,NaN,NaN,-0.244487,NaN,NaN,NaN,NaN,NaN,1.2696334,-0.15010543,-0.23420897,-0.24591084,NaN,-0.1444422,NaN,-0.048521284,NaN,2.3730636,0.22160341,0.0
1.0,-1.0824953,0.26984894,0.12618937,0.06993622,0.05430768,0.047443207,1.17844,1.3016578,2.0862684,-0.6830532,1.7904824,-0.040297963,2.1561759,-0.05937192,2.2607071,-0.05172715,-0.8355956,0.33579314,0.38741642,-1.028035,NaN,NaN,NaN,NaN,NaN,-0.244487,NaN,NaN,NaN,NaN,NaN,1.2509049,-0.2678152,-0.25176784,-0.2753129,NaN,0.04967088,NaN,0.18203749,NaN,2.6059492,0.5534306,0.0
1.0,-0.8312046,0.39725038,0.22930732,0.12809005,0.12889276,0.12066325,1.1673324,0.4573102,2.0759695,-0.69112235,2.014512,-0.038388714,1.9735903,-0.062365487,2.156058,-0.047635462,-0.74165916,0.09674134,0.1549197,-0.4762274,NaN,NaN,NaN,NaN,NaN,-0.4529991,NaN,NaN,NaN,NaN,NaN,1.1991193,0.9040509,0.046733014,0.11977736,NaN,0.14770778,NaN,0.22600408,NaN,2.1723065,0.10309368,0.0
